countryName,countryCode,regionCode,maxLength,maxLWH,method,minWeight,maxWeight,rate
BAHRAIN,BH,21,150,300,EMS,0,300,1200
BAHRAIN,BH,21,150,300,EMS,300,500,1500
BAHRAIN,BH,21,150,300,EMS,500,600,1680
BAHRAIN,BH,21,150,300,EMS,600,700,1860
BAHRAIN,BH,21,150,300,EMS,700,800,2040
BAHRAIN,BH,21,150,300,EMS,800,900,2220
BAHRAIN,BH,21,150,300,EMS,900,1000,2400
BAHRAIN,BH,21,150,300,EMS,1000,1250,2800
BAHRAIN,BH,21,150,300,EMS,1250,1500,3200
BAHRAIN,BH,21,150,300,EMS,1500,1750,3600
BAHRAIN,BH,21,150,300,EMS,1750,2000,4000
BAHRAIN,BH,21,150,300,EMS,2000,2500,4700
BAHRAIN,BH,21,150,300,EMS,2500,3000,5400
BAHRAIN,BH,21,150,300,EMS,3000,3500,6100
BAHRAIN,BH,21,150,300,EMS,3500,4000,6800
BAHRAIN,BH,21,150,300,EMS,4000,4500,7500
BAHRAIN,BH,21,150,300,EMS,4500,5000,8200
BAHRAIN,BH,21,150,300,EMS,5000,5500,8900
BAHRAIN,BH,21,150,300,EMS,5500,6000,9600
BAHRAIN,BH,21,150,300,EMS,6000,7000,10700
BAHRAIN,BH,21,150,300,EMS,7000,8000,11800
BAHRAIN,BH,21,150,300,EMS,8000,9000,12900
BAHRAIN,BH,21,150,300,EMS,9000,10000,14000
BAHRAIN,BH,21,150,300,EMS,10000,11000,15100
BAHRAIN,BH,21,150,300,EMS,11000,12000,16200
BAHRAIN,BH,21,150,300,EMS,12000,13000,17300
BAHRAIN,BH,21,150,300,EMS,13000,14000,18400
BAHRAIN,BH,21,150,300,EMS,14000,15000,19500
BAHRAIN,BH,21,150,300,EMS,15000,16000,20600
BAHRAIN,BH,21,150,300,EMS,16000,17000,21700
BAHRAIN,BH,21,150,300,EMS,17000,18000,22800
BAHRAIN,BH,21,150,300,EMS,18000,19000,23900
BAHRAIN,BH,21,150,300,EMS,19000,20000,25000
BANGLADESH,BD,1,150,300,EMS,0,300,900
BANGLADESH,BD,1,150,300,EMS,300,500,1100
BANGLADESH,BD,1,150,300,EMS,500,600,1240
BANGLADESH,BD,1,150,300,EMS,600,700,1380
BANGLADESH,BD,1,150,300,EMS,700,800,1520
BANGLADESH,BD,1,150,300,EMS,800,900,1660
BANGLADESH,BD,1,150,300,EMS,900,1000,1800
BANGLADESH,BD,1,150,300,EMS,1000,1250,2100
BANGLADESH,BD,1,150,300,EMS,1250,1500,2400
BANGLADESH,BD,1,150,300,EMS,1500,1750,2700
BANGLADESH,BD,1,150,300,EMS,1750,2000,3000
BANGLADESH,BD,1,150,300,EMS,2000,2500,3500
BANGLADESH,BD,1,150,300,EMS,2500,3000,4000
BANGLADESH,BD,1,150,300,EMS,3000,3500,4500
BANGLADESH,BD,1,150,300,EMS,3500,4000,5000
BANGLADESH,BD,1,150,300,EMS,4000,4500,5500
BANGLADESH,BD,1,150,300,EMS,4500,5000,6000
BANGLADESH,BD,1,150,300,EMS,5000,5500,6500
BANGLADESH,BD,1,150,300,EMS,5500,6000,7000
BANGLADESH,BD,1,150,300,EMS,6000,7000,7800
